rollout,graph_index,target_nodes,mode,raw_nodes,raw_edges,lcc_nodes,lcc_edges
4,8,49,cropped_fixed_budget,38,45,27,38
4,9,85,full_threshold_0p5,98,4743,98,4743
4,9,85,cropped_threshold_0p5,85,3560,85,3560
4,9,85,cropped_calibrated,85,3320,85,3320
4,9,85,cropped_fixed_budget,44,45,34,36
4,10,74,full_threshold_0p5,98,4726,98,4726
4,10,74,cropped_threshold_0p5,74,2675,74,2675
4,10,74,cropped_calibrated,74,1594,74,1594
4,10,74,cropped_fixed_budget,47,45,34,37
4,11,48,full_threshold_0p5,90,270,90,270
4,11,48,cropped_threshold_0p5,48,171,48,171
4,11,48,cropped_calibrated,26,22,14,13
4,11,48,cropped_fixed_budget,37,45,37,45
4,12,95,full_threshold_0p5,16,16,14,15
4,12,95,cropped_threshold_0p5,14,15,14,15
4,12,95,cropped_calibrated,2,1,2,1
4,12,95,cropped_fixed_budget,38,45,27,38
4,13,58,full_threshold_0p5,24,21,15,15
4,13,58,cropped_threshold_0p5,20,19,15,15
4,13,58,cropped_calibrated,3,2,3,2
4,13,58,cropped_fixed_budget,42,45,32,37
4,14,43,full_threshold_0p5,26,22,12,12
4,14,43,cropped_threshold_0p5,23,19,12,12
4,14,43,cropped_calibrated,3,2,3,2
4,14,43,cropped_fixed_budget,31,45,31,45
4,15,36,full_threshold_0p5,41,35,16,17
4,15,36,cropped_threshold_0p5,21,19,15,16
4,15,36,cropped_calibrated,5,4,5,4
4,15,36,cropped_fixed_budget,31,45,31,45
4,16,50,full_threshold_0p5,36,33,19,22
4,16,50,cropped_threshold_0p5,26,26,19,22
4,16,50,cropped_calibrated,8,7,8,7
4,16,50,cropped_fixed_budget,42,45,25,32
4,17,68,full_threshold_0p5,67,64,22,24
4,17,68,cropped_threshold_0p5,52,50,22,24
4,17,68,cropped_calibrated,3,2,3,2
4,17,68,cropped_fixed_budget,48,45,18,20
4,18,65,full_threshold_0p5,14,13,14,13
4,18,65,cropped_threshold_0p5,13,12,13,12
4,18,65,cropped_calibrated,4,3,4,3
4,18,65,cropped_fixed_budget,36,45,20,31
4,19,96,full_threshold_0p5,24,21,14,14
4,19,96,cropped_threshold_0p5,22,20,14,14
4,19,96,cropped_calibrated,3,2,3,2
4,19,96,cropped_fixed_budget,50,45,24,27
5,0,30,full_threshold_0p5,98,4711,98,4711
5,0,30,cropped_threshold_0p5,30,401,30,401
5,0,30,cropped_calibrated,27,52,27,52
5,0,30,cropped_fixed_budget,27,45,27,45
5,1,71,full_threshold_0p5,27,20,15,14
5,1,71,cropped_threshold_0p5,21,17,15,14
5,1,71,cropped_calibrated,2,1,2,1
5,1,71,cropped_fixed_budget,41,45,24,31
5,2,73,full_threshold_0p5,27,23,14,14
5,2,73,cropped_threshold_0p5,27,23,14,14
5,2,73,cropped_calibrated,2,1,2,1
5,2,73,cropped_fixed_budget,46,45,35,38
5,3,92,full_threshold_0p5,97,105,97,105
5,3,92,cropped_threshold_0p5,92,100,92,100
5,3,92,cropped_calibrated,7,5,4,3
5,3,92,cropped_fixed_budget,53,45,21,20
5,4,86,full_threshold_0p5,12,10,8,8
5,4,86,cropped_threshold_0p5,12,10,8,8
5,4,86,cropped_calibrated,2,1,2,1
5,4,86,cropped_fixed_budget,35,45,24,37
5,5,25,full_threshold_0p5,34,34,28,29
5,5,25,cropped_threshold_0p5,19,19,16,17
5,5,25,cropped_calibrated,3,2,3,2
5,5,25,cropped_fixed_budget,25,45,25,45
5,6,74,full_threshold_0p5,72,68,56,57
5,6,74,cropped_threshold_0p5,58,58,52,53
5,6,74,cropped_calibrated,2,1,2,1
5,6,74,cropped_fixed_budget,46,45,39,40
5,7,23,full_threshold_0p5,23,18,14,13
5,7,23,cropped_threshold_0p5,14,13,14,13
5,7,23,cropped_calibrated,3,2,3,2
5,7,23,cropped_fixed_budget,23,45,23,45
5,8,49,full_threshold_0p5,16,11,8,7
5,8,49,cropped_threshold_0p5,16,11,8,7
5,8,49,cropped_calibrated,2,1,2,1
5,8,49,cropped_fixed_budget,34,45,29,42
5,9,85,full_threshold_0p5,69,82,59,76
5,9,85,cropped_threshold_0p5,63,79,59,76
5,9,85,cropped_calibrated,4,3,4,3
5,9,85,cropped_fixed_budget,45,45,33,37
5,10,74,full_threshold_0p5,37,29,13,12
5,10,74,cropped_threshold_0p5,37,29,13,12
5,10,74,cropped_calibrated,2,1,2,1
5,10,74,cropped_fixed_budget,48,45,39,40
5,11,48,full_threshold_0p5,70,91,60,84
5,11,48,cropped_threshold_0p5,45,64,45,64
5,11,48,cropped_calibrated,4,2,2,1
5,11,48,cropped_fixed_budget,39,45,39,45
5,12,95,full_threshold_0p5,44,41,25,28
5,12,95,cropped_threshold_0p5,43,40,24,27
5,12,95,cropped_calibrated,2,1,2,1
5,12,95,cropped_fixed_budget,48,45,27,31
5,13,58,full_threshold_0p5,22,21,16,16
5,13,58,cropped_threshold_0p5,22,21,16,16
5,13,58,cropped_calibrated,5,4,5,4
5,13,58,cropped_fixed_budget,36,45,22,32
5,14,43,full_threshold_0p5,56,48,23,22
5,14,43,cropped_threshold_0p5,30,26,23,22
5,14,43,cropped_calibrated,6,3,2,1
5,14,43,cropped_fixed_budget,38,45,36,44
5,15,36,full_threshold_0p5,72,77,68,75
5,15,36,cropped_threshold_0p5,30,33,30,33
5,15,36,cropped_calibrated,2,1,2,1
5,15,36,cropped_fixed_budget,33,45,33,45
